Locality,Median Rent
Mildura,456.7
Murray River - Swan Hill,456.7
Grampians,367.2
Glenelg - South Grampians,394.7
Warrnambool,456.7
Loddon - Elmore,488.8
Maryborough - Pyrenees,272.5
Colac - Corangamite,272.5
Campaspe,456.7
Heathcote - Castlemaine - Kyneton,330.3
Creswick - Daylesford - Ballan,297.5
Ballarat,297.5
Barwon - West,400
Surf Coast - Bellarine Peninsula,367.2
Bendigo,298.6
Campaspe,456.7
Geelong,330.3
Wyndham,298.6
Melton - Bacchus Marsh,330.3
Macedon Ranges,272.5
Upper Goulburn Valley,424.1
Shepparton,424.1
Moira,367.2
Wangaratta - Benalla,297.5
Wodonga - Alpine,330.3
Gippsland - East,403.1
Wellington,367.2
Latrobe Valley,297.5
Gippsland - South West,397.4
Cardinia,297.5
Yarra Ranges,297.5
Nillumbik - Kinglake,298.6
Baw Baw,297.5
Sunbury,456.7
Brimbank,297.5
Hobsons Bay,365.3
Maribyrnong,330.3
Keilor,456.7
Tullamarine - Broadmeadows,297.5
Whittlesea - Wallan,297.5
Mornington Peninsula,367.2
Casey - South,394.7
Frankston,456.7
Kingston,367.2
Dandenong,330.3
Casey - North,409.4
Knox,407.1
Monash,367.2
Maroondah,367.2
Manningham - East,403.1
Manningham - West,400
Whitehorse - West,400
Whitehorse - East,403.1
Moreland - North,409.4
Darebin - North,409.4
Banyule,297.5
Boroondara,297.5
Stonnington - East,403.1
Glen Eira,367.2
Bayside,297.5
Port Philip,407.1
Stonnington - West,400
Yarra,297.5
Darebin - South,394.7
Brunswick - Coburg,298.6
Essendon,298.6
Melbourne City,415.7
